speaker,word,time_point,f1,f2,f3,f0,duration,vowel,voicing,place
it07,podo,3,510.9667861429,879.6478024001,2564.0285886006,129.0840844012,97.7346221683,o,voiced,coronal
it07,podo,4,526.7046328859,902.3875470848,2598.00385116,130.467570132,97.7346221683,o,voiced,coronal
it07,podo,5,532.7654478528,927.8118015736,2622.8858529919,131.9136922572,97.7346221683,o,voiced,coronal
it07,podo,6,536.5830982965,965.9142683325,2637.0234130674,133.248555898,97.7346221683,o,voiced,coronal
it07,podo,7,531.3939938281,1037.6746771651,2718.6427566826,133.873117547,97.7346221683,o,voiced,coronal
it07,podo,8,520.493789877,1070.1514725048,2742.9268754449,133.2531321982,97.7346221683,o,voiced,coronal
it07,podo,9,497.0260159961,1106.1103662195,2729.5778382941,131.8091286527,97.7346221683,o,voiced,coronal
it07,paca,1,692.2620475056,1207.5471949237,2499.1516301976,125.2903220578,93.7118942231,a,voiceless,velar
it07,paca,2,718.7541685127,1234.6125696918,2480.9242705962,125.8894114084,93.7118942231,a,voiceless,velar
it07,paca,3,759.0546683172,1249.6874528838,2480.9034542677,127.0836280008,93.7118942231,a,voiceless,velar
it07,paca,4,782.2165554397,1258.1094160481,2461.0544055544,128.2423838152,93.7118942231,a,voiceless,velar
it07,paca,5,780.8471344455,1268.5133759067,2430.8316369717,129.5054779229,93.7118942231,a,voiceless,velar
it07,paca,6,777.7543509659,1277.184670513,2318.7868477376,131.4831853228,93.7118942231,a,voiceless,velar
it07,paca,7,766.5286826239,1310.0356362082,2301.157759948,134.4371433363,93.7118942231,a,voiceless,velar
it07,paca,8,699.9573120272,1348.1453425677,2158.3305240034,138.148108903,93.7118942231,a,voiceless,velar
it07,paca,9,653.070177669,1389.6970643113,2075.6019001982,139.703907359,93.7118942231,a,voiceless,velar
it07,poto,1,502.1727769601,854.9846409564,2572.1172595914,127.8114760768,94.3325027941,o,voiceless,coronal
it07,poto,2,516.5311979402,857.0703916383,2595.4826255883,129.1956707488,94.3325027941,o,voiceless,coronal
it07,poto,3,525.8796223776,865.9579981621,2594.6931914744,130.552449347,94.3325027941,o,voiceless,coronal
it07,poto,4,534.9258822014,890.0794159899,2620.5452956715,133.3297720903,94.3325027941,o,voiceless,coronal
it07,poto,5,532.7197725046,917.2523343073,2639.3498456301,136.1683531773,94.3325027941,o,voiceless,coronal
it07,poto,6,529.2710993053,952.1611322533,2649.3412935683,139.2869113457,94.3325027941,o,voiceless,coronal
it07,poto,7,502.0182963007,985.4695142963,2659.1091783678,142.451973131,94.3325027941,o,voiceless,coronal
it07,poto,8,468.8372250082,1023.6972404886,2741.6586440812,144.801900729,94.3325027941,o,voiceless,coronal
it07,poto,9,440.5235132899,1040.2670003722,2749.993295905,145.2355850294,94.3325027941,o,voiceless,coronal
it07,poco,1,506.0113775157,908.3228050579,2437.229121683,NA,94.3325027941,o,voiceless,velar
it07,poco,2,519.2898194028,917.6841977836,2415.6360495284,129.8571316191,94.3325027941,o,voiceless,velar
it07,poco,3,527.5812508094,910.0575850651,2376.1341732089,131.1136646103,94.3325027941,o,voiceless,velar
it07,poco,4,534.1861738985,906.3327474153,2368.7140378358,131.8939275965,94.3325027941,o,voiceless,velar
it07,poco,5,533.2458155459,903.6501132809,2346.799126727,133.1734176022,94.3325027941,o,voiceless,velar
it07,poco,6,534.9888112648,893.8701664644,2356.3900159014,134.3510790872,94.3325027941,o,voiceless,velar
it07,poco,7,531.2471012272,868.2386621231,2393.1748019652,135.1879340993,94.3325027941,o,voiceless,velar
it07,poco,8,520.9930132721,873.4933098218,2392.6542068703,136.9915303994,94.3325027941,o,voiceless,velar
it07,poco,9,483.4747296491,874.5098348425,2412.4931871702,139.8479877065,94.3325027941,o,voiceless,velar
it07,paga,1,624.6297125003,1143.69614112,2452.6285777364,129.2506990096,102.4004142172,a,voiced,velar
it07,paga,2,688.5158461279,1185.5136185406,2472.7907500214,126.3348476198,102.4004142172,a,voiced,velar
it07,paga,3,710.156335914,1214.7582190321,2486.6101268746,125.5224769556,102.4004142172,a,voiced,velar
it07,paga,4,720.1800062873,1218.9588806871,2473.014482451,124.0196887527,102.4004142172,a,voiced,velar
it07,paga,5,724.9955357551,1241.2047174241,2440.2327043186,124.3483450064,102.4004142172,a,voiced,velar
it07,paga,6,726.5191481259,1268.6296440408,2406.2280160108,125.7292037524,102.4004142172,a,voiced,velar
it07,paga,7,690.803259467,1287.0024459916,2350.9665900203,128.5293835206,102.4004142172,a,voiced,velar
it07,paga,8,631.3389799796,1355.350097635,2263.3437072181,132.1651519297,102.4004142172,a,voiced,velar
it07,paga,9,558.493279472,1461.8868926335,2118.2826052364,130.8487126251,102.4004142172,a,voiced,velar
it07,pada,1,682.5358792525,1097.7984050313,2571.6246624792,128.9928417497,108.0458856185,a,voiced,coronal
it07,pada,2,733.454188949,1146.304953795,2587.3165835641,129.1636776779,108.0458856185,a,voiced,coronal
it07,pada,3,748.4051626162,1166.895645317,2605.2482385729,129.3421286606,108.0458856185,a,voiced,coronal
it07,pada,4,767.6142753969,1174.3131522865,2602.4634757411,130.0476492503,108.0458856185,a,voiced,coronal
it07,pada,5,776.6548962257,1184.088371277,2593.5799498637,130.6076492626,108.0458856185,a,voiced,coronal
it07,pada,6,770.5615369511,1206.5518492873,2615.1368048727,132.5418077019,108.0458856185,a,voiced,coronal
it07,pada,7,726.4726737618,1254.9631578398,2598.5944685768,135.4238581782,108.0458856185,a,voiced,coronal
